Date,Open,High,Low,Close,Volume
2018-01-02,443.23,453.39,433.12,447.08,49612
2018-01-03,444.73,464.63,442.97,459.09,52019
2018-01-04,464.63,486.73,462.56,480.3,72205
2018-01-05,484.23,489.26,471.45,481.59,39989
2018-01-08,478.25,499.73,478.25,495.36,52205
2018-01-09,495.44,526.23,495.44,525.75,64592
2018-01-10,528.23,532.11,516.71,528.94,47714
2018-01-11,530.23,531.23,515.23,518.04,50656
2018-01-12,517.0,532.03,510.25,531.65,45988
2018-01-15,536.69,542.29,522.25,528.6,52473
2018-01-16,523.71,531.84,511.23,516.17,65428
2018-01-17,513.23,517.23,481.74,491.16,90710
2018-01-18,491.16,508.23,487.32,493.97,58979
2018-01-19,496.13,502.13,482.25,493.41,50926
2018-01-22,495.04,517.23,495.04,516.87,67127
2018-01-23,521.04,523.23,511.83,517.01,49549
2018-01-24,519.67,519.69,501.83,507.69,43299
2018-01-25,504.23,519.23,494.23,512.39,50041
2018-01-26,510.47,520.63,507.23,520.45,43978
2018-01-29,521.99,522.9,478.23,479.55,74536
2018-01-30,479.23,492.0,473.25,485.31,51911
2018-01-31,482.23,514.94,482.23,507.77,60402
2018-02-01,510.23,510.53,496.15,500.96,50583
2018-02-02,495.45,496.46,468.23,483.63,75421
2018-02-05,470.45,473.19,448.83,461.46,98996
2018-02-06,446.23,465.83,446.23,452.09,88169
2018-02-07,463.23,467.11,425.24,426.66,88290
2018-02-08,425.43,461.23,425.43,444.22,83409
2018-02-09,423.23,433.12,401.23,426.66,105578
2018-02-12,434.23,448.73,428.43,440.71,64180
2018-02-13,448.25,458.05,447.73,455.21,53389
2018-02-14,463.23,463.23,455.45,461.68,30653
2018-02-22,470.53,487.23,466.47,485.68,50765
2018-02-23,490.23,499.79,480.23,485.71,38159
2018-02-26,490.11,495.28,476.25,486.74,43658
2018-02-27,492.23,499.23,480.45,481.21,42602
2018-02-28,475.23,485.53,462.23,468.85,48331
2018-03-01,471.23,490.08,467.0,485.2,44795
2018-03-02,481.23,486.79,473.23,479.64,25992
2018-03-05,481.41,485.23,460.26,463.34,37235
2018-03-06,468.23,470.83,440.36,461.49,64570
2018-03-07,458.23,467.23,452.22,453.27,34596
2018-03-08,457.23,467.23,451.23,465.99,35349
2018-03-09,470.78,475.8,466.73,471.43,30171
2018-03-12,472.78,477.15,466.0,467.18,39888
2018-03-13,466.23,469.83,453.23,453.58,38577
2018-03-14,452.9,471.31,450.45,470.11,37356
2018-03-15,471.25,490.23,471.25,489.7,56149
2018-03-16,490.83,497.21,482.11,483.08,35856
2018-03-19,487.2,497.22,482.23,496.71,38667
2018-03-20,493.23,495.23,483.23,490.96,28877
2018-03-21,493.34,496.34,483.23,485.23,26743
2018-03-22,487.23,491.23,467.24,469.31,37487
2018-03-23,444.23,466.72,443.31,454.29,52547
2018-03-26,451.23,458.29,445.11,456.72,46256
2018-03-27,466.23,469.11,447.23,457.97,47548
2018-03-28,443.2,446.23,412.23,425.28,113540
2018-03-29,425.43,441.08,401.64,432.33,79082
2018-03-30,429.23,436.73,423.11,426.85,36540
2018-04-02,423.23,434.23,417.34,423.29,32039
2018-04-03,421.23,430.23,418.62,421.14,40236
2018-04-04,425.23,443.66,423.61,437.24,56891
2018-04-09,440.33,448.66,433.38,441.53,30833
2018-04-10,448.03,451.73,441.69,451.25,32043
2018-04-11,453.23,458.01,446.25,448.59,25723
2018-04-12,447.23,450.11,435.45,437.43,30714
2018-04-13,441.73,444.23,428.31,430.09,27550
2018-04-16,423.81,430.08,420.23,424.61,32940
2018-04-17,428.23,428.61,408.83,409.43,35173
2018-04-18,414.23,414.23,388.23,398.87,62617
2018-04-19,403.08,423.23,399.89,423.19,44208
2018-04-20,424.23,437.23,411.46,413.49,41512
2018-04-23,409.24,423.56,409.24,417.24,32659
2018-04-24,419.23,436.73,418.23,433.11,47283
2018-04-25,432.23,435.23,426.25,434.2,25252
2018-04-26,435.23,435.51,416.23,421.46,35048
2018-04-27,428.48,431.59,398.23,405.76,57915
2018-05-02,403.23,412.22,388.29,411.06,70259
2018-05-03,409.23,416.91,401.23,414.11,36327
2018-05-04,414.21,418.06,403.8,406.1,37376
2018-05-07,403.18,445.11,401.0,441.4,85591
2018-05-08,441.26,455.36,441.26,452.06,62498
2018-05-09,452.31,455.53,440.35,445.18,32331
2018-05-10,446.73,459.23,446.73,457.42,39294
2018-05-11,461.92,473.73,458.93,461.25,39142
2018-05-14,467.23,486.23,467.23,485.64,51015
2018-05-15,489.23,489.67,477.23,486.29,38056
2018-05-16,483.23,488.89,476.51,477.75,30795
2018-05-17,478.35,480.73,467.23,470.61,28518
2018-05-18,467.22,484.23,464.42,482.55,29255
2018-05-21,487.23,490.53,475.71,478.05,29060
2018-05-22,478.45,483.07,473.25,482.8,16999
2018-05-23,483.23,483.23,466.81,467.01,28269
2018-05-24,463.23,471.89,456.23,458.63,30416
2018-05-25,455.23,470.23,455.23,460.09,26511
2018-05-28,461.23,483.89,458.35,483.63,42805
2018-05-29,482.03,493.23,474.51,474.66,40820
2018-05-30,470.45,480.53,463.28,469.1,37147
2018-05-31,473.48,494.85,473.47,494.36,71853
2018-06-01,494.36,498.21,481.99,488.34,36178
2018-06-04,495.58,526.13,489.11,525.2,73806
2018-06-05,529.73,537.93,520.46,531.28,52630
2018-06-06,531.23,544.18,525.53,528.98,48969
2018-06-07,533.21,538.78,522.13,524.2,39168
2018-06-08,523.23,529.13,513.23,521.18,34958
2018-06-11,519.28,529.23,511.56,518.96,36548
2018-06-12,521.23,546.73,519.73,542.42,55287
2018-06-13,543.23,545.85,532.11,533.56,35244
2018-06-14,533.23,537.03,518.41,529.36,36160
2018-06-15,527.43,532.81,523.33,527.56,31708
2018-06-19,523.23,523.23,491.23,492.23,60196
2018-06-20,495.23,519.23,495.23,517.82,45838
2018-06-21,519.45,533.12,513.0,513.55,39183
2018-06-22,508.23,521.23,504.23,520.76,28855
2018-06-25,520.23,533.2,519.13,519.79,32934
2018-06-26,519.54,524.11,501.23,509.03,46578
2018-06-27,506.23,511.23,475.23,476.67,57298
2018-06-28,468.23,473.23,451.23,465.16,50834
2018-06-29,466.53,486.53,459.23,485.69,32929
2018-07-02,488.75,493.56,457.23,465.78,37558
2018-07-03,463.99,470.01,432.46,449.15,82837
2018-07-04,446.23,454.23,442.23,445.14,37991
2018-07-05,454.23,470.43,454.23,456.62,47124
2018-07-06,461.23,475.16,453.49,468.35,44157
2018-07-09,474.26,484.09,473.96,481.47,40573
2018-07-10,483.23,485.73,467.56,479.99,29010
2018-07-11,464.23,478.23,456.45,473.81,24278
2018-07-12,472.23,495.4,472.23,491.77,40170
2018-07-13,496.53,502.33,489.35,501.22,28907
2018-07-16,506.53,518.34,505.26,508.91,32475
2018-07-17,511.23,511.23,490.25,496.66,27806
2018-07-18,496.66,503.92,489.23,491.67,24522
2018-07-19,493.23,498.18,489.25,495.18,18079
2018-07-20,495.73,497.36,482.23,495.36,30549
2018-07-23,490.23,495.38,474.24,486.3,35970
2018-07-24,486.91,501.53,477.23,499.63,41809
2018-07-25,501.18,504.11,494.24,498.04,21744
2018-07-26,503.13,503.13,488.46,489.85,23067
2018-07-27,490.23,498.53,484.23,492.79,20914
2018-07-30,493.13,494.89,469.23,473.44,42172
2018-07-31,474.53,482.11,473.44,480.67,20683
2018-08-01,485.63,486.53,468.34,469.17,25238
2018-08-02,470.2,470.2,442.11,450.07,55001
2018-08-03,449.23,449.23,430.43,433.22,47337
2018-08-06,431.23,438.23,416.48,423.91,45248
2018-08-07,426.53,442.06,416.25,440.51,39086
2018-08-08,441.25,443.23,426.1,430.45,29685
2018-08-09,425.23,448.73,424.35,446.11,34486
2018-08-10,446.11,449.0,438.43,441.41,23818
2018-08-13,437.23,437.23,420.91,433.45,34570
2018-08-14,433.45,438.73,427.74,434.36,21697
2018-08-15,434.03,434.23,415.23,417.03,34997
2018-08-16,406.23,422.73,394.23,402.67,59940
2018-08-17,411.73,411.73,384.24,389.09,46575
2018-08-20,386.68,399.78,371.09,399.02,48852
2018-08-21,401.23,426.53,401.23,425.72,52249
2018-08-22,425.23,427.43,417.23,421.93,20676
2018-08-23,425.93,432.73,419.41,424.44,27357
2018-08-24,423.23,423.23,410.69,414.53,26090
2018-08-27,416.23,441.53,416.23,441.53,48017
2018-08-28,447.23,448.01,432.78,435.23,32489
2018-08-29,436.23,443.11,433.33,440.08,27404
2018-08-30,442.44,446.83,433.24,434.63,33788
2018-08-31,430.48,431.23,410.73,413.42,58981
2018-09-03,406.23,421.9,405.03,420.44,30180
2018-09-04,421.03,430.23,415.83,429.27,21540
2018-09-05,429.23,431.22,411.23,412.02,28983
2018-09-06,406.23,413.49,394.23,398.23,42371
2018-09-07,399.73,412.26,399.37,405.2,29240
2018-09-10,406.43,408.04,394.93,399.03,21202
2018-09-11,399.8,405.2,394.86,400.23,19497
2018-09-12,397.23,399.1,382.24,384.23,41157
2018-09-13,392.23,396.23,374.23,386.21,47713
2018-09-14,388.21,404.01,382.76,397.13,40900
2018-09-17,399.23,407.19,395.29,400.04,29113
2018-09-18,397.23,422.23,396.45,420.93,37859
2018-09-19,420.81,440.23,420.23,435.65,48222
2018-09-20,439.43,441.13,431.59,432.78,27519
2018-09-21,436.23,454.24,434.24,454.24,42617
2018-09-25,449.23,460.0,447.49,451.25,30640
2018-09-26,456.33,486.91,456.22,479.16,72288
2018-09-27,481.73,482.23,469.63,478.23,40509
2018-09-28,480.93,487.43,473.11,484.23,35090
2018-10-08,469.64,473.23,440.38,440.38,82745
2018-10-09,441.13,452.94,440.13,449.23,40223
2018-10-10,451.49,452.23,423.92,425.15,63098
2018-10-11,389.24,423.17,389.24,399.22,91582
2018-10-12,405.23,426.91,404.81,422.23,54473
2018-10-15,423.72,426.18,414.26,421.13,35607
2018-10-16,420.21,433.76,416.24,421.37,26394
2018-10-17,429.23,431.53,404.13,419.95,43077
2018-10-18,414.23,414.23,399.2,400.17,52156
